"id","url_hash","url","name","logo","created_at","updated_at",""
"95","b2979304","https://www.autoevolution.com/ram-trucks/","RAM Trucks","https://s1.cdn.autoevolution.com/images/producers/ram-trucks-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"96","e8424d7c","https://www.autoevolution.com/renault/","RENAULT","https://s1.cdn.autoevolution.com/images/producers/renault-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"97","961ed2a5","https://www.autoevolution.com/rimac/","RIMAC","https://s1.cdn.autoevolution.com/images/producers/rimac-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"98","7a2d4755","https://www.autoevolution.com/rivian/","RIVIAN","https://s1.cdn.autoevolution.com/images/producers/rivian-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"99","f40f793f","https://www.autoevolution.com/rolls-royce/","ROLLS-ROYCE","https://s1.cdn.autoevolution.com/images/producers/rolls-royce-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"100","ed5af548","https://www.autoevolution.com/saab/","SAAB","https://s1.cdn.autoevolution.com/images/producers/saab-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"101","a88e0c11","https://www.autoevolution.com/saleen/","SALEEN","https://s1.cdn.autoevolution.com/images/producers/saleen-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"102","8168cb43","https://www.autoevolution.com/samsung/","SAMSUNG","https://s1.cdn.autoevolution.com/images/producers/samsung-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"103","1d8a67fb","https://www.autoevolution.com/santana/","SANTANA","https://s1.cdn.autoevolution.com/images/producers/santana-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"104","e425a23c","https://www.autoevolution.com/saturn/","SATURN","https://s1.cdn.autoevolution.com/images/producers/saturn-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"105","fabb9f06","https://www.autoevolution.com/scion/","SCION","https://s1.cdn.autoevolution.com/images/producers/scion-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"106","5d3287c1","https://www.autoevolution.com/seat/","SEAT","https://s1.cdn.autoevolution.com/images/producers/seat-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"107","b974b236","https://www.autoevolution.com/skoda/","SKODA","https://s1.cdn.autoevolution.com/images/producers/skoda-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"108","f29c6c23","https://www.autoevolution.com/smart/","SMART","https://s1.cdn.autoevolution.com/images/producers/smart-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"109","dba676b0","https://www.autoevolution.com/spyker/","SPYKER","https://s1.cdn.autoevolution.com/images/producers/spyker-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"110","fcc0c6b0","https://www.autoevolution.com/ssang-yong/","SSANGYONG","https://s1.cdn.autoevolution.com/images/producers/ssangyong-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"111","927e6cb4","https://www.autoevolution.com/subaru/","SUBARU","https://s1.cdn.autoevolution.com/images/producers/subaru-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"112","19ef1c30","https://www.autoevolution.com/suzuki/","SUZUKI","https://s1.cdn.autoevolution.com/images/producers/suzuki-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"113","3b783730","https://www.autoevolution.com/tata-motors/","TATA MOTORS","https://s1.cdn.autoevolution.com/images/producers/tata-motors-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"114","b188d7f4","https://www.autoevolution.com/tesla-motors/","TESLA","https://s1.cdn.autoevolution.com/images/producers/tesla-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"115","b6ccd774","https://www.autoevolution.com/toyota/","TOYOTA","https://s1.cdn.autoevolution.com/images/producers/toyota-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"116","fdda6856","https://www.autoevolution.com/tvr/","TVR","https://s1.cdn.autoevolution.com/images/producers/tvr-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"117","b660afc4","https://www.autoevolution.com/vauxhall/","VAUXHALL","https://s1.cdn.autoevolution.com/images/producers/vauxhall-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"118","0d4be83a","https://www.autoevolution.com/vinfast/","VinFast","https://s1.cdn.autoevolution.com/images/producers/vinfast-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"119","5fae2a20","https://www.autoevolution.com/volkswagen/","VOLKSWAGEN","https://s1.cdn.autoevolution.com/images/producers/volkswagen-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"120","46101c70","https://www.autoevolution.com/volvo/","VOLVO","https://s1.cdn.autoevolution.com/images/producers/volvo-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"121","65bfd33a","https://www.autoevolution.com/wiesmann/","WIESMANN","https://s1.cdn.autoevolution.com/images/producers/wiesmann-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"122","2f9bf476","https://www.autoevolution.com/xpeng/","Xpeng","https://s1.cdn.autoevolution.com/images/producers/xpeng-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"123","fa0488d0","https://www.autoevolution.com/zender/","ZENDER","https://s1.cdn.autoevolution.com/images/producers/zender-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"124","a3ae15aa","https://www.autoevolution.com/zenvo/","Zenvo","https://s1.cdn.autoevolution.com/images/producers/zenvo-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
